ORDER	LATENCY	ABS	TYPE
1	3084	3084	local
2	3766	6850	local
3	6499	13349	local
4	17626	30975	local
5	22055	53030	local
6	3739	56769	local
7	3851	60620	local
8	3328	63948	local
9	2258	66206	local
10	2145	68351	local
11	2142	70493	local
12	1745	72238	local
13	68531	140769	global
14	2207	142976	local
15	2937	145913	local
16	11799	157712	local
17	127831	285543	global
18	3227	288770	local
19	2219	290989	local
20	1931	292920	local
21	3833	296753	local
22	1997	298750	local
23	2034	300784	local
24	2320	303104	local
25	1897	305001	local
26	1524	306525	local
27	1576	308101	local
28	4040	312141	local
29	11081	323222	local
30	32742	355964	global
31	34453	390417	global
32	7195	397612	global
33	2344	399956	local
34	2000	401956	local
35	2042	403998	local
36	1609	405607	local
37	1894	407501	local
38	2153	409654	local
39	1980	411634	local
40	1873	413507	local
41	2189	415696	local
42	7759	423455	global
43	2051	425506	local
44	1861	427367	local
45	1853	429220	local
46	1492	430712	local
47	1268	431980	local
48	1168	433148	local
49	1150	434298	local
50	1281	435579	local
51	1465	437044	local
52	1298	438342	local
53	1848	440190	local
54	1380	441570	local
55	1485	443055	local
56	1388	444443	local
57	1753	446196	local
58	1880	448076	local
59	1552	449628	local
60	1487	451115	local
61	1465	452580	local
62	2464	455044	local
63	1824	456868	local
64	23115	479983	local
65	7948	487931	local
66	19130	507061	local
67	2028	509089	local
68	11706	520795	global
69	1613	522408	local
70	1806	524214	local
71	2896	527110	local
72	3687	530797	local
73	2950	533747	local
74	1892	535639	local
75	1993	537632	local
76	1467	539099	local
77	1541	540640	local
78	2123	542763	local
79	1400	544163	local
80	1436	545599	local
81	2258	547857	local
82	9253	557110	global
83	2816	559926	global
84	1211	561137	local
85	44515	605652	global
86	2396	608048	local
87	2342	610390	local
88	3397	613787	local
89	2000	615787	local
90	2748	618535	local
91	1920	620455	local
92	1540	621995	local
93	1364	623359	local
94	1213	624572	local
95	8668	633240	global
96	37186	670426	global
97	2229	672655	local
98	3679	676334	local
99	2011	678345	local
100	1610	679955	local
101	1578	681533	local
102	1455	682988	local
103	27087	710075	global
104	1414	711489	local
105	1696	713185	local
106	1462	714647	local
107	2573	717220	local
108	1284	718504	local
109	951	719455	local
110	793	720248	local
111	964	721212	local
112	1621	722833	local
113	1978	724811	local
114	1285	726096	local
115	1259	727355	local
116	970	728325	local
117	1230	729555	local
118	1444	730999	local
119	3901	734900	local
120	1804	736704	local
121	2434	739138	local
122	2848	741986	local
123	1767	743753	local
124	1643	745396	local
125	1359	746755	local
126	27323	774078	global
127	1931	776009	local
128	1170	777179	local
129	1248	778427	local
130	4527	782954	local
131	1548	784502	local
132	1593	786095	local
133	1275	787370	local
134	1162	788532	local
135	1084	789616	local
136	1200	790816	local
137	1284	792100	local
138	1238	793338	local
139	2263	795601	local
140	1257	796858	local
141	967	797825	local
142	1162	798987	local
143	1715	800702	local
144	2759	803461	local
145	1294	804755	local
146	1172	805927	local
147	1177	807104	local
148	1174	808278	local
149	9829	818107	global
150	2011	820118	local
151	1773	821891	local
152	7312	829203	global
153	1549	830752	local
154	1410	832162	local
155	1469	833631	local
156	2531	836162	local
157	8095	844257	global
158	1587	845844	local
159	1433	847277	local
160	1716	848993	local
161	1448	850441	local
162	1809	852250	local
163	1846	854096	local
164	1709	855805	local
165	1718	857523	local
166	1802	859325	local
167	1522	860847	local
168	1452	862299	local
169	2031	864330	local
170	1787	866117	local
171	1228	867345	local
172	1099	868444	local
173	2333	870777	local
174	1470	872247	local
175	1630	873877	local
176	1729	875606	local
177	1115	876721	local
178	1175	877896	local
179	2379	880275	local
180	1595	881870	local
181	1197	883067	local
182	1415	884482	local
183	4187	888669	global
184	1732	890401	local
185	1536	891937	local
186	1738	893675	local
187	1316	894991	local
188	2253	897244	local
189	1471	898715	local
190	2222	900937	local
191	2261	903198	local
192	1258	904456	local
193	2112	906568	local
194	1230	907798	local
195	1330	909128	local
196	67335	976463	global
197	1462	977925	local
198	1411	979336	local
199	1871	981207	local
200	1633	982840	local
201	1150	983990	local
202	1173	985163	local
203	1042	986205	local
204	990	987195	local
205	878	988073	local
206	705	988778	local
207	609	989387	local
208	816	990203	local
209	894	991097	local
210	928	992025	local
211	4479	996504	global
212	897	997401	local
213	1160	998561	local
214	787	999348	local
215	827	1000175	local


--------------
Stats:
	Total: 215
	Mean: 3532.0520231213873
	StdDev: 6476.6736880308645
	Max: 7759
	Percentile (25, 50, 75, 95, 99): (1444, 1753, 2222, 3901, 7312)
--------------

