ORDER	LATENCY	ABS	TYPE
1	43209	43209	global
2	33314	76523	local
3	3235	79758	local
4	3474	83232	local
5	2350	85582	local
6	4040	89622	local
7	65549	155171	global
8	62085	217256	local
9	6100	223356	local
10	2250	225606	local
11	2065	227671	local
12	2009	229680	local
13	1794	231474	local
14	1563	233037	local
15	61129	294166	global
16	7590	301756	local
17	8160	309916	local
18	2283	312199	local
19	2894	315093	local
20	2276	317369	local
21	31378	348747	global
22	1907	350654	local
23	1704	352358	local
24	1983	354341	local
25	2142	356483	local
26	1963	358446	local
27	1764	360210	local
28	7252	367462	local
29	3047	370509	local
30	2243	372752	local
31	1927	374679	local
32	1835	376514	local
33	2916	379430	local
34	2437	381867	local
35	2053	383920	local
36	1666	385586	local
37	7472	393058	local
38	2129	395187	local
39	4983	400170	local
40	2268	402438	local
41	1738	404176	local
42	3488	407664	local
43	2493	410157	local
44	1296	411453	local
45	2047	413500	local
46	1315	414815	local
47	1701	416516	local
48	1624	418140	local
49	2134	420274	local
50	1802	422076	local
51	1351	423427	local
52	1365	424792	local
53	1437	426229	local
54	1350	427579	local
55	41281	468860	global
56	5495	474355	local
57	5589	479944	local
58	37231	517175	global
59	1919	519094	local
60	1357	520451	local
61	2402	522853	local
62	2018	524871	local
63	3044	527915	local
64	1825	529740	local
65	1176	530916	local
66	2378	533294	local
67	1279	534573	local
68	1803	536376	local
69	1964	538340	local
70	1283	539623	local
71	1256	540879	local
72	1534	542413	local
73	2391	544804	local
74	1852	546656	local
75	1575	548231	local
76	1294	549525	local
77	1682	551207	local
78	1732	552939	local
79	1541	554480	local
80	1386	555866	local
81	1338	557204	local
82	1497	558701	local
83	1337	560038	local
84	1183	561221	local
85	1431	562652	local
86	1192	563844	local
87	1020	564864	local
88	23564	588428	global
89	2173	590601	local
90	3521	594122	local
91	16632	610754	global
92	2714	613468	local
93	2209	615677	local
94	7285	622962	local
95	2407	625369	local
96	1271	626640	local
97	1346	627986	local
98	7269	635255	global
99	133114	768369	local
100	1816	770185	local
101	2573	772758	local
102	1468	774226	local
103	1674	775900	local
104	2501	778401	local
105	3186	781587	local
106	1792	783379	local
107	8874	792253	global
108	2965	795218	local
109	1861	797079	local
110	1058	798137	local
111	2171	800308	local
112	1206	801514	local
113	5264	806778	local
114	1866	808644	local
115	1366	810010	local
116	1727	811737	local
117	1218	812955	local
118	1272	814227	local
119	1414	815641	local
120	1331	816972	local
121	1217	818189	local
122	1079	819268	local
123	1773	821041	local
124	1353	822394	local
125	1448	823842	local
126	1362	825204	local
127	2918	828122	local
128	2465	830587	local
129	1327	831914	local
130	2710	834624	local
131	7769	842393	global
132	6905	849298	global
133	1397	850695	local
134	1120	851815	local
135	9002	860817	global
136	1309	862126	local
137	3108	865234	local
138	1409	866643	local
139	1079	867722	local
140	1351	869073	local
141	1673	870746	local
142	1192	871938	local
143	1100	873038	local
144	1198	874236	local
145	7726	881962	global
146	1583	883545	local
147	1839	885384	local
148	1354	886738	local
149	1341	888079	local
150	1420	889499	local
151	1223	890722	local
152	2409	893131	local
153	1195	894326	local
154	1157	895483	local
155	1203	896686	local
156	1182	897868	local
157	1341	899209	local
158	975	900184	local
159	1267	901451	local
160	1150	902601	local
161	1133	903734	local
162	946	904680	local
163	1098	905778	local
164	847	906625	local
165	1755	908380	local
166	1474	909854	local
167	1061	910915	local
168	1710	912625	local
169	61295	973920	global
170	1454	975374	local
171	1465	976839	local
172	1155	977994	local
173	1207	979201	local
174	1163	980364	local
175	1129	981493	local
176	1405	982898	local
177	6765	989663	global
178	2563	992226	local
179	1393	993619	local
180	1294	994913	local
181	1416	996329	local
182	979	997308	local
183	882	998190	local
184	678	998868	local
185	7936	1006804	local


--------------
Stats:
	Total: 185
	Mean: 4018.228187919463
	StdDev: 11999.067518455062
	Max: 7590
	Percentile (25, 50, 75, 95, 99): (1354, 1764, 2391, 6765, 7590)
--------------

