ORDER	LATENCY	ABS	TYPE
1	2136	2136	local
2	3049	5185	local
3	2622	7807	local
4	6823	14630	local
5	2170	16800	local
6	2800	19600	local
7	3711	23311	local
8	2593	25904	local
9	2503	28407	local
10	13910	42317	local
11	34199	76516	local
12	2565	79081	local
13	164100	243181	global
14	5611	248792	local
15	3552	252344	local
16	3213	255557	local
17	2036	257593	local
18	4165	261758	local
19	2758	264516	local
20	3022	267538	local
21	5568	273106	local
22	20542	293648	global
23	4152	297800	local
24	12152	309952	local
25	3198	313150	local
26	1725	314875	local
27	1936	316811	local
28	2404	319215	local
29	50811	370026	global
30	2221	372247	local
31	1701	373948	local
32	2593	376541	local
33	1540	378081	local
34	2366	380447	local
35	2077	382524	local
36	2418	384942	local
37	7984	392926	local
38	2279	395205	local
39	2620	397825	local
40	2898	400723	local
41	3278	404001	local
42	3628	407629	local
43	2265	409894	local
44	38761	448655	global
45	1803	450458	local
46	1678	452136	local
47	1977	454113	local
48	4209	458322	local
49	9801	468123	local
50	5438	473561	local
51	5890	479451	local
52	47474	526925	global
53	1503	528428	local
54	1707	530135	local
55	1657	531792	local
56	3118	534910	local
57	1441	536351	local
58	2084	538435	local
59	1636	540071	local
60	48724	588795	global
61	1873	590668	local
62	3536	594204	local
63	1827	596031	local
64	1483	597514	local
65	1985	599499	local
66	1648	601147	local
67	1430	602577	local
68	5522	608099	global
69	52133	660232	global
70	1828	662060	local
71	2411	664471	local
72	44877	709348	global
73	1494	710842	local
74	1603	712445	local
75	1536	713981	local
76	9003	722984	global
77	8321	731305	global
78	3973	735278	local
79	2986	738264	local
80	2663	740927	local
81	2428	743355	local
82	1472	744827	local
83	2068	746895	local
84	2004	748899	local
85	1906	750805	local
86	1443	752248	local
87	2303	754551	local
88	1913	756464	local
89	1095	757559	local
90	1387	758946	local
91	6248	765194	local
92	13714	778908	global
93	3344	782252	local
94	5938	788190	global
95	1447	789637	local
96	1297	790934	local
97	7443	798377	global
98	1250	799627	local
99	1068	800695	local
100	1222	801917	local
101	4860	806777	local
102	5120	811897	global
103	1546	813443	local
104	1245	814688	local
105	1263	815951	local
106	2185	818136	local
107	1478	819614	local
108	1860	821474	local
109	1511	822985	local
110	2479	825464	local
111	2911	828375	local
112	2365	830740	local
113	1758	832498	local
114	2437	834935	local
115	1635	836570	local
116	1536	838106	local
117	1167	839273	local
118	1285	840558	local
119	1471	842029	local
120	1643	843672	local
121	1594	845266	local
122	1669	846935	local
123	1382	848317	local
124	1383	849700	local
125	1339	851039	local
126	2016	853055	local
127	2037	855092	local
128	6972	862064	global
129	3378	865442	local
130	2066	867508	local
131	1549	869057	local
132	1626	870683	local
133	1478	872161	local
134	1147	873308	local
135	1202	874510	local
136	1139	875649	local
137	1314	876963	local
138	4960	881923	global
139	1546	883469	local
140	10946	894415	global
141	1307	895722	local
142	1709	897431	local
143	1771	899202	local
144	1220	900422	local
145	1152	901574	local
146	1203	902777	local
147	4568	907345	global
148	2555	909900	local
149	929	910829	local
150	915	911744	local
151	1303	913047	local
152	1776	914823	local
153	1640	916463	local
154	3213	919676	local
155	2175	921851	local
156	3277	925128	local
157	1445	926573	local
158	1059	927632	local
159	1307	928939	local
160	1047	929986	local
161	1625	931611	local
162	1133	932744	local
163	54883	987627	global
164	21165	1008792	global


--------------
Stats:
	Total: 164
	Mean: 4957.143939393939
	StdDev: 9675.163755548565
	Max: 9003
	Percentile (25, 50, 75, 95, 99): (1625, 2077, 3118, 6248, 9003)
--------------

