ORDER	LATENCY	ABS	TYPE
1	3336	3336	local
2	16896	20232	local
3	21652	41884	local
4	3908	45792	local
5	3009	48801	local
6	3792	52593	local
7	2515	55108	local
8	2192	57300	local
9	2126	59426	local
10	1732	61158	local
11	2483	63641	local
12	54733	118374	global
13	2057	120431	local
14	1922	122353	local
15	2247	124600	local
16	1728	126328	local
17	5447	131775	local
18	1940	133715	local
19	14095	147810	local
20	2224	150034	local
21	1701	151735	local
22	10051	161786	local
23	37942	199728	local
24	8851	208579	local
25	5846	214425	local
26	13460	227885	local
27	2224	230109	local
28	2397	232506	local
29	2866	235372	local
30	8573	243945	local
31	3144	247089	local
32	4230	251319	local
33	2745	254064	local
34	1877	255941	local
35	12878	268819	global
36	2006	270825	local
37	18760	289585	global
38	6354	295939	local
39	2344	298283	local
40	8201	306484	local
41	13570	320054	global
42	1748	321802	local
43	1634	323436	local
44	1473	324909	local
45	1384	326293	local
46	1152	327445	local
47	1365	328810	local
48	7885	336695	global
49	3826	340521	local
50	2846	343367	local
51	3378	346745	local
52	3307	350052	local
53	2644	352696	local
54	1666	354362	local
55	1616	355978	local
56	1794	357772	local
57	1817	359589	local
58	1580	361169	local
59	1444	362613	local
60	1581	364194	local
61	17346	381540	global
62	2061	383601	local
63	85880	469481	global
64	7656	477137	local
65	19376	496513	local
66	2117	498630	local
67	2156	500786	local
68	1695	502481	local
69	61449	563930	global
70	2187	566117	local
71	2158	568275	local
72	2916	571191	local
73	1816	573007	local
74	2532	575539	local
75	1758	577297	local
76	1513	578810	local
77	15755	594565	local
78	2674	597239	local
79	2091	599330	local
80	2476	601806	local
81	3208	605014	local
82	3477	608491	local
83	2087	610578	local
84	1681	612259	local
85	46932	659191	global
86	2266	661457	local
87	3928	665385	local
88	1800	667185	local
89	1745	668930	local
90	1658	670588	local
91	1735	672323	local
92	1494	673817	local
93	1835	675652	local
94	1679	677331	local
95	1674	679005	local
96	2069	681074	local
97	1678	682752	local
98	1485	684237	local
99	1401	685638	local
100	1327	686965	local
101	1264	688229	local
102	1222	689451	local
103	1161	690612	local
104	1271	691883	local
105	1185	693068	local
106	28996	722064	global
107	2432	724496	local
108	1528	726024	local
109	2451	728475	local
110	2711	731186	local
111	2187	733373	local
112	1834	735207	local
113	287603	1022810	local


--------------
Stats:
	Total: 113
	Mean: 6877.0329670329675
	StdDev: 13487.566024099999
	Max: 16896
	Percentile (25, 50, 75, 95, 99): (1794, 2224, 3336, 13460, 16896)
--------------

