ORDER	LATENCY	ABS	TYPE
1	1965	1965	local
2	3004	4969	local
3	9032	14001	local
4	17044	31045	local
5	21806	52851	local
6	3668	56519	local
7	3059	59578	local
8	3840	63418	local
9	2258	65676	local
10	2152	67828	local
11	2360	70188	local
12	1483	71671	local
13	2697	74368	local
14	3452	77820	local
15	3153	80973	local
16	2934	83907	local
17	1785	85692	local
18	2177	87869	local
19	1868	89737	local
20	1436	91173	local
21	7522	98695	local
22	8229	106924	local
23	2500	109424	local
24	1400	110824	local
25	10983	121807	local
26	126399	248206	global
27	7510	255716	local
28	4954	260670	local
29	3178	263848	local
30	1467	265315	local
31	1629	266944	local
32	4132	271076	local
33	11478	282554	global
34	1755	284309	local
35	3070	287379	local
36	1917	289296	local
37	2623	291919	local
38	1503	293422	local
39	4375	297797	local
40	2611	300408	local
41	2343	302751	local
42	2287	305038	local
43	2275	307313	local
44	58368	365681	global
45	20791	386472	global
46	55795	442267	global
47	1431	443698	local
48	2244	445942	local
49	33461	479403	global
50	8584	487987	local
51	16464	504451	local
52	22672	527123	global
53	1986	529109	local
54	1643	530752	local
55	2429	533181	local
56	2375	535556	local
57	1820	537376	local
58	1959	539335	local
59	1518	540853	local
60	3308	544161	local
61	2102	546263	local
62	1716	547979	local
63	1363	549342	local
64	47535	596877	global
65	11219	608096	global
66	2096	610192	local
67	2378	612570	local
68	1734	614304	local
69	2226	616530	local
70	3860	620390	local
71	2169	622559	local
72	1272	623831	local
73	1830	625661	local
74	4839	630500	local
75	1724	632224	local
76	1739	633963	local
77	1607	635570	local
78	28964	664534	global
79	45768	710302	global
80	1512	711814	local
81	1636	713450	local
82	1630	715080	local
83	1453	716533	local
84	1459	717992	local
85	11446	729438	global
86	1785	731223	local
87	3083	734306	local
88	1879	736185	local
89	2214	738399	local
90	10672	749071	global
91	1275	750346	local
92	1471	751817	local
93	1322	753139	local
94	1286	754425	local
95	1103	755528	local
96	1872	757400	local
97	1316	758716	local
98	1329	760045	local
99	1076	761121	local
100	2083	763204	local
101	1185	764389	local
102	14041	778430	global
103	13494	791924	global
104	1702	793626	local
105	1704	795330	local
106	1433	796763	local
107	2327	799090	local
108	3332	802422	local
109	1562	803984	local
110	1175	805159	local
111	1144	806303	local
112	1375	807678	local
113	2037	809715	local
114	1592	811307	local
115	1290	812597	local
116	1890	814487	local
117	2186	816673	local
118	1235	817908	local
119	2236	820144	local
120	1230	821374	local
121	1987	823361	local
122	1173	824534	local
123	3265	827799	local
124	1462	829261	local
125	1246	830507	local
126	1629	832136	local
127	1702	833838	local
128	2950	836788	local
129	1971	838759	local
130	1352	840111	local
131	3018	843129	local
132	1641	844770	local
133	1310	846080	local
134	6178	852258	global
135	1630	853888	local
136	2143	856031	local
137	1345	857376	local
138	2122	859498	local
139	1422	860920	local
140	975	861895	local
141	1742	863637	local
142	1834	865471	local
143	1300	866771	local
144	1045	867816	local
145	2197	870013	local
146	2227	872240	local
147	1460	873700	local
148	13127	886827	local
149	1879	888706	local
150	1163	889869	local
151	1471	891340	local
152	1843	893183	local
153	1528	894711	local
154	1618	896329	local
155	2554	898883	local
156	171708	1070591	local


--------------
Stats:
	Total: 156
	Mean: 6211.619047619048
	StdDev: 14677.25110930907
	Max: 13127
	Percentile (25, 50, 75, 95, 99): (1629, 1987, 2950, 10672, 13127)
--------------

