ORDER	LATENCY	ABS	TYPE
1	2053	2053	local
2	1668	3721	local
3	1609	5330	local
4	3094	8424	local
5	2926	11350	local
6	5732	17082	local
7	4390	21472	local
8	4065	25537	local
9	2505	28042	local
10	108225	136267	global
11	26744	163011	global
12	56872	219883	local
13	10385	230268	local
14	2305	232573	local
15	2916	235489	local
16	1843	237332	local
17	3474	240806	local
18	4128	244934	local
19	26260	271194	global
20	4702	275896	local
21	2828	278724	local
22	2214	280938	local
23	7758	288696	local
24	5727	294423	local
25	4289	298712	local
26	13640	312352	local
27	2441	314793	local
28	2522	317315	local
29	2407	319722	local
30	2030	321752	local
31	1620	323372	local
32	1830	325202	local
33	2072	327274	local
34	1683	328957	local
35	1334	330291	local
36	6960	337251	global
37	1440	338691	local
38	1457	340148	local
39	1359	341507	local
40	2021	343528	local
41	1345	344873	local
42	1356	346229	local
43	1462	347691	local
44	3535	351226	local
45	1656	352882	local
46	1516	354398	local
47	1711	356109	local
48	1843	357952	local
49	3511	361463	global
50	1664	363127	local
51	8740	371867	local
52	23980	395847	global
53	1799	397646	local
54	5580	403226	local
55	4021	407247	local
56	3123	410370	local
57	2443	412813	local
58	1725	414538	local
59	1605	416143	local
60	1671	417814	local
61	1679	419493	local
62	1619	421112	local
63	2147	423259	local
64	1925	425184	local
65	1787	426971	local
66	44431	471402	global
67	5150	476552	local
68	5697	482249	local
69	2446	484695	local
70	7725	492420	global
71	1552	493972	local
72	6525	500497	global
73	3708	504205	global
74	961	505166	local
75	847	506013	local
76	692	506705	local
77	754	507459	local
78	983	508442	local
79	1183	509625	local
80	1387	511012	local
81	9359	520371	global
82	1718	522089	local
83	1578	523667	local
84	3435	527102	local
85	2053	529155	local
86	2127	531282	local
87	1568	532850	local
88	41915	574765	global
89	1863	576628	local
90	1691	578319	local
91	1180	579499	local
92	4098	583597	local
93	2024	585621	local
94	1264	586885	local
95	2701	589586	local
96	1794	591380	local
97	1517	592897	local
98	1418	594315	local
99	2677	596992	local
100	1851	598843	local
101	1551	600394	local
102	1888	602282	local
103	1616	603898	local
104	1510	605408	local
105	4980	610388	local
106	2337	612725	local
107	1751	614476	local
108	2450	616926	local
109	3219	620145	local
110	7734	627879	local
111	41763	669642	global
112	1912	671554	local
113	4297	675851	local
114	3833	679684	local
115	7595	687279	local
116	11906	699185	local
117	2593	701778	local
118	1594	703372	local
119	1598	704970	local
120	887	705857	local
121	1014	706871	local
122	830	707701	local
123	25043	732744	global
124	1381	734125	local
125	3921	738046	local
126	2899	740945	local
127	1773	742718	local
128	25309	768027	global
129	2848	770875	local
130	1570	772445	local
131	2020	774465	local
132	1653	776118	local
133	2279	778397	local
134	1371	779768	local
135	158737	938505	global
136	1428	939933	local
137	934	940867	local
138	586	941453	local
139	535	941988	local
140	604	942592	local
141	561	943153	local
142	491	943644	local
143	516	944160	local
144	492	944652	local
145	623	945275	local
146	2344	947619	global
147	843	948462	local
148	1433	949895	local
149	786	950681	local
150	502	951183	local
151	500	951683	local
152	532	952215	local
153	477	952692	local
154	463	953155	local
155	465	953620	local
156	116672	1070292	local


--------------
Stats:
	Total: 156
	Mean: 5616.380952380952
	StdDev: 15670.136653319723
	Max: 9359
	Percentile (25, 50, 75, 95, 99): (1570, 1912, 3123, 7595, 9359)
--------------

