ORDER	LATENCY	ABS	TYPE
1	2415	2415	local
2	3107	5522	local
3	2226	7748	local
4	4193	11941	local
5	3632	15573	local
6	3615	19188	local
7	3771	22959	local
8	1932	24891	local
9	1906	26797	local
10	13990	40787	local
11	35141	75928	local
12	3063	78991	local
13	2177	81168	local
14	3543	84711	local
15	4031	88742	local
16	1934	90676	local
17	1216	91892	local
18	130441	222333	global
19	2354	224687	local
20	1935	226622	local
21	2619	229241	local
22	1990	231231	local
23	1793	233024	local
24	3078	236102	local
25	1884	237986	local
26	47968	285954	global
27	7712	293666	local
28	5940	299606	local
29	10232	309838	local
30	2902	312740	local
31	1829	314569	local
32	1989	316558	local
33	52459	369017	global
34	1850	370867	local
35	1817	372684	local
36	1719	374403	local
37	1980	376383	local
38	64366	440749	global
39	4982	445731	local
40	10049	455780	global
41	1490	457270	local
42	9371	466641	local
43	4666	471307	local
44	4428	475735	local
45	4298	480033	local
46	1929	481962	local
47	40325	522287	global
48	2006	524293	local
49	3230	527523	local
50	1967	529490	local
51	1681	531171	local
52	3014	534185	local
53	2059	536244	local
54	1974	538218	local
55	1485	539703	local
56	1499	541202	local
57	1756	542958	local
58	1794	544752	local
59	1966	546718	local
60	2260	548978	local
61	1862	550840	local
62	19352	570192	local
63	1851	572043	local
64	1331	573374	local
65	1245	574619	local
66	1524	576143	local
67	1179	577322	local
68	1697	579019	local
69	3034	582053	local
70	1997	584050	local
71	2734	586784	local
72	1684	588468	local
73	1492	589960	local
74	1710	591670	local
75	2522	594192	local
76	1533	595725	local
77	6052	601777	global
78	1362	603139	local
79	4575	607714	local
80	1945	609659	local
81	1888	611547	local
82	2200	613747	local
83	1756	615503	local
84	1749	617252	local
85	6031	623283	local
86	1592	624875	local
87	1497	626372	local
88	1931	628303	local
89	1677	629980	local
90	2204	632184	local
91	2123	634307	local
92	2108	636415	local
93	1702	638117	local
94	1576	639693	local
95	1868	641561	local
96	1211	642772	local
97	1608	644380	local
98	1326	645706	local
99	1432	647138	local
100	1562	648700	local
101	1618	650318	local
102	1331	651649	local
103	1167	652816	local
104	1422	654238	local
105	1259	655497	local
106	1210	656707	local
107	923	657630	local
108	863	658493	local
109	1418	659911	local
110	1979	661890	local
111	3119	665009	local
112	1249	666258	local
113	2252	668510	local
114	1497	670007	local
115	1985	671992	local
116	1553	673545	local
117	4046	677591	local
118	5962	683553	local
119	4945	688498	local
120	3786	692284	local
121	5367	697651	local
122	22951	720602	global
123	1240	721842	local
124	1458	723300	local
125	1269	724569	local
126	1109	725678	local
127	1225	726903	local
128	1659	728562	local
129	14440	743002	global
130	1373	744375	local
131	1509	745884	local
132	1339	747223	local
133	1301	748524	local
134	1857	750381	local
135	2180	752561	local
136	1779	754340	local
137	10551	764891	global
138	2866	767757	local
139	1673	769430	local
140	2405	771835	local
141	1572	773407	local
142	2266	775673	local
143	1384	777057	local
144	1360	778417	local
145	3301	781718	local
146	2266	783984	local
147	1420	785404	local
148	1314	786718	local
149	1185	787903	local
150	1215	789118	local
151	1356	790474	local
152	1490	791964	local
153	3135	795099	local
154	1597	796696	local
155	1412	798108	local
156	5006	803114	global
157	2536	805650	local
158	1571	807221	local
159	1268	808489	local
160	20312	828801	local
161	1701	830502	local
162	1545	832047	local
163	2634	834681	local
164	2749	837430	local
165	1359	838789	local
166	1483	840272	local
167	1387	841659	local
168	2007	843666	local
169	1424	845090	local
170	1484	846574	local
171	1549	848123	local
172	1193	849316	local
173	1374	850690	local
174	2210	852900	local
175	2212	855112	local
176	1761	856873	local
177	4381	861254	global
178	1325	862579	local
179	8019	870598	global
180	1191	871789	local
181	1208	872997	local
182	1217	874214	local
183	1106	875320	local
184	1202	876522	local
185	4953	881475	global
186	7446	888921	global
187	1382	890303	local
188	1578	891881	local
189	1439	893320	local
190	1267	894587	local
191	1225	895812	local
192	1532	897344	local
193	1293	898637	local
194	1554	900191	local
195	1197	901388	local
196	1248	902636	local
197	1200	903836	local
198	1293	905129	local
199	1365	906494	local
200	1957	908451	local
201	1382	909833	local
202	1366	911199	local
203	1237	912436	local
204	1478	913914	local
205	2062	915976	local
206	3311	919287	local
207	4787	924074	local
208	42399	966473	global
209	2043	968516	local
210	1769	970285	local
211	21987	992272	global
212	15281	1007553	global


--------------
Stats:
	Total: 212
	Mean: 3921.005882352941
	StdDev: 8130.9129508417645
	Max: 6052
	Percentile (25, 50, 75, 95, 99): (1492, 1851, 2415, 4953, 6031)
--------------

