ORDER	LATENCY	ABS	TYPE
1	22396	22396	local
2	4150	26546	local
3	2710	29256	local
4	2483	31739	local
5	67894	99633	global
6	1881	101514	local
7	1515	103029	local
8	2761	105790	local
9	5023	110813	local
10	2329	113142	local
11	3580	116722	local
12	128963	245685	global
13	2414	248099	local
14	2700	250799	local
15	2282	253081	local
16	2652	255733	local
17	2156	257889	local
18	3616	261505	local
19	1631	263136	local
20	4076	267212	local
21	2391	269603	local
22	1732	271335	local
23	1811	273146	local
24	2222	275368	local
25	2306	277674	local
26	2511	280185	local
27	9959	290144	local
28	5103	295247	local
29	2158	297405	local
30	7860	305265	global
31	1529	306794	local
32	1528	308322	local
33	1535	309857	local
34	1361	311218	local
35	7021	318239	global
36	6313	324552	global
37	3540	328092	local
38	1947	330039	local
39	1707	331746	local
40	1496	333242	local
41	2043	335285	local
42	1563	336848	local
43	1409	338257	local
44	1360	339617	local
45	1528	341145	local
46	1598	342743	local
47	1435	344178	local
48	1697	345875	local
49	1703	347578	local
50	1561	349139	local
51	1634	350773	local
52	12278	363051	global
53	1364	364415	local
54	1550	365965	local
55	2161	368126	local
56	2517	370643	local
57	2024	372667	local
58	1598	374265	local
59	1660	375925	local
60	1897	377822	local
61	73315	451137	global
62	7578	458715	local
63	19117	477832	local
64	2130	479962	local
65	2539	482501	local
66	1489	483990	local
67	1430	485420	local
68	1263	486683	local
69	1081	487764	local
70	1278	489042	local
71	1422	490464	local
72	1762	492226	local
73	1615	493841	local
74	1856	495697	local
75	3017	498714	local
76	1628	500342	local
77	1817	502159	local
78	2911	505070	local
79	66031	571101	global
80	7308	578409	local
81	2141	580550	local
82	2595	583145	local
83	2186	585331	local
84	3527	588858	local
85	1987	590845	local
86	2210	593055	local
87	48162	641217	global
88	1798	643015	local
89	1605	644620	local
90	1790	646410	local
91	2095	648505	local
92	1876	650381	local
93	1526	651907	local
94	1341	653248	local
95	1427	654675	local
96	2067	656742	local
97	1671	658413	local
98	1324	659737	local
99	1223	660960	local
100	1597	662557	local
101	1413	663970	local
102	1575	665545	local
103	36484	702029	global
104	2589	704618	local
105	1963	706581	local
106	1613	708194	local
107	1770	709964	local
108	2722	712686	local
109	1933	714619	local
110	23354	737973	global
111	1392	739365	local
112	4844	744209	local
113	1831	746040	local
114	170948	916988	global
115	7080	924068	local
116	1826	925894	local
117	1386	927280	local
118	1749	929029	local
119	1165	930194	local
120	5278	935472	global
121	1525	936997	local
122	1261	938258	local
123	4372	942630	global
124	1086	943716	local
125	1122	944838	local
126	1603	946441	local
127	1469	947910	local
128	1478	949388	local
129	31081	980469	global
130	1023	981492	local
131	783	982275	local
132	793	983068	local
133	730	983798	local
134	18963	1002761	global


--------------
Stats:
	Total: 134
	Mean: 6378.685185185185
	StdDev: 19363.317225966817
	Max: 9959
	Percentile (25, 50, 75, 95, 99): (1597, 1881, 2589, 7080, 9959)
--------------

